,Area,Element,Item,Year,hg/ha_yield,pesticides_tonnes,average_rain_fall_mm_per_year,avg_temp
0,Albania,Yield,Maize,1990,36613,121.0,1485.0,16.37
1,Albania,Yield,Apple,1990,66667,121.0,1485.0,16.37
2,Albania,Yield,"Rice, paddy",1990,23333,121.0,1485.0,16.37
3,Albania,Yield,Sorghum,1990,12500,121.0,1485.0,16.37
4,Albania,Yield,Soybeans,1990,7000,121.0,1485.0,16.37
5,Albania,Yield,lentil,1990,30197,121.0,1485.0,16.37
6,Albania,Yield,Maize,1991,29068,121.0,1485.0,15.36
7,Albania,Yield,Apple,1991,77818,121.0,1485.0,15.36
8,Albania,Yield,"Rice, paddy",1991,28538,121.0,1485.0,15.36
9,Albania,Yield,Sorghum,1991,6667,121.0,1485.0,15.36
10,Albania,Yield,Soybeans,1991,6066,121.0,1485.0,15.36
11,Albania,Yield,lentil,1991,20698,121.0,1485.0,15.36
12,Albania,Yield,Maize,1992,24876,121.0,1485.0,16.06
13,Albania,Yield,Apple,1992,82920,121.0,1485.0,16.06
14,Albania,Yield,"Rice, paddy",1992,40000,121.0,1485.0,16.06
15,Albania,Yield,Sorghum,1992,3747,121.0,1485.0,16.06
16,Albania,Yield,Soybeans,1992,4507,121.0,1485.0,16.06
17,Albania,Yield,lentil,1992,24388,121.0,1485.0,16.06
18,Albania,Yield,Maize,1993,24185,121.0,1485.0,16.05
19,Albania,Yield,Apple,1993,98446,121.0,1485.0,16.05
20,Albania,Yield,"Rice, paddy",1993,41786,121.0,1485.0,16.05
21,Albania,Yield,Soybeans,1993,7998,121.0,1485.0,16.05
22,Albania,Yield,lentil,1993,29976,121.0,1485.0,16.05
23,Albania,Yield,Maize,1994,25848,201.0,1485.0,16.96
24,Albania,Yield,Apple,1994,81404,201.0,1485.0,16.96
25,Albania,Yield,Soybeans,1994,7927,201.0,1485.0,16.96
26,Albania,Yield,lentil,1994,24745,201.0,1485.0,16.96
27,Albania,Yield,Maize,1995,31300,251.0,1485.0,15.67
28,Albania,Yield,Apple,1995,111323,251.0,1485.0,15.67
29,Albania,Yield,Soybeans,1995,11791,251.0,1485.0,15.67
30,Albania,Yield,lentil,1995,28703,251.0,1485.0,15.67
31,Albania,Yield,Maize,1996,32604,313.96,1485.0,15.64
32,Albania,Yield,Apple,1996,106138,313.96,1485.0,15.64
33,Albania,Yield,Soybeans,1996,15480,313.96,1485.0,15.64
34,Albania,Yield,lentil,1996,21741,313.96,1485.0,15.64
